CHILDID,S1_ID,S2_ID,S3_ID,S4_ID,S5_ID,S6_ID,S7_ID,KURBAN_R,GENDER,RACE,C1R4MSCL,C2R4MSCL,C3R4MSCL,C4R4MSCL,C5R4MSCL,C6R4MSCL,C7R4MSCL,W1SESL,W3SESL,W5SESL,S2PUBLIC
0005018C,0005,0005, , , , , ,1,2,8,15.65,28.83, , , , , , , , ,1
0005019C,0005,0005, ,0005, , , ,1,1,1,18.19,29.31, ,48.18, , , ,-.95, , ,1
0005020C,0005,0005, ,0005,0005,A191, ,1,2,7,12.38,17.28, ,27.61,50.81,77.92, , ,-.84,-1.71,1
0005021C,0005,0005, ,0005,0005, , ,1,1,2,12.45,12.81, ,18.69,40.29, , ,-1.29,-1.34, ,1
0005022C,0005,0005, , , , , ,1,2,1,18.65,30.69, , , , , , , , ,1
0005023C,0005,0005, ,0005, , , ,1,1,1,15.28,27.7, ,46.33, , , ,-1.09, , ,1
0005024C,0005, , , , , , ,1,1,1,11.74, , , , , , , , , ,1
0005025C,0005,0005, ,0005,0005,0006, ,1,2,8,17.34,23.11, ,36.5,87.86,104.68, , , , ,1
0006001C,0006,0006, ,0006,6028,6028,C001,1,2,5,22.12,27.62, ,56.87,113.87,153.54,168.8, ,-.75,-.41,1
0006002C,0006,0006, ,0006,0006,A191,C002,1,1,5,-1,-1, ,35.68,72.81,107.93,147.22, ,-.96,-.97,1
0006003C,0006,0006, ,0006,0006,0006,C002,1,1,1,33.97,42.03, ,92.61,107.95,119.61,142.93,.92,.83,.91,1
0006004C,0006,0006, , , , , ,1,2,1,27.35,37.89, , , , , , , , ,1
0006005C,0006,0006, ,0006,0006,0006, ,1,1,1,40.17,61.34, ,94.66,146.69,140.76, ,.41,.31,.29,1
0006006C,0006,0006, , , , , ,1,2,1,19.79,27.62, , , , , , , , ,1
0006007C,0006,0006, ,0006,0006,0006,C002,1,1,1,13.36,29.21, ,52.86,117.99,123.79,132.88,.01,.02,.06,1
0006008C,0006,0006, , , , , ,1,1,1,22.22,38.97, , , , , , , , ,1
0006009C,0006,0006, , , , , ,1,2,1,30.7,35.91, , , , , , , , ,1
0006010C,0006,0006, ,0006,0006,0006,C002,1,2,1,28.58,32.95, ,55.85,91.48,138.75,146.11,-.82,-.8,-.81,1
0006011C,0006,0006, ,0006,0006,0006,C002,1,1,1,13.96,28.34, ,50.71,88.69,104.61,164.82,-.65,-.8,-.71,1
0006012C,0006,0006, ,0006,0006,4100,C004,1,2,1,20.13,21.43, ,44.38,92.47,124.73,133.93,.09,.03,.39,1
0006013C,0006,0006, ,0006, , , ,1,1,1,23.93,37.22, ,59.41, , , ,-.71, , ,1
0006014C,0006,0006, ,0006,0006, , ,1,2,1,23.62,25.58, ,32.66,55.2, , ,-1.43,-1.32, ,1
0006015C,0006,0006, ,0006,0006,0006,C006,1,1,1,12.41,19.43, ,44.67,111.55,140.39,131, ,-1.34,-.74,1
0006016C,0006,0006, ,0006, , , ,1,2,1,27.56,34.96, ,73.89, , , ,-.71, , ,1
0006017C,0006,0006, ,0006,0006,0006,C002,1,2,1,26.65,37.35, ,64.14,137.58,140.92,154.66,-.15,-.25,.11,1
0006018C,0006,4594, , , , , ,1,1,1,17.83, , , , , , , , , ,1
0006019C,0006,0006, ,0006, , , ,1,1,3,12.2,18.72, ,29.84, , , ,-1.97, , ,1
0006020C,0006,0006, , , , , ,1,1,1,27.14,30.81, , , , , , , , ,1
0006021C,0006,0006, , , , , ,1,2,4,19.61,28.1, , , , , , , , ,1
0006022C,0006,0006, ,0006,0006,0006,C002,1,1,1,21.46,33.27, ,57.43,105.79,127.71,141.56,-1.38,-.94,-.91,1
0006023C,0006,0006, ,0006,0006, , ,1,1,3,18.5,28.84, ,37.92, , , ,-1.74,-2.21, ,1
0006024C,0006, , , , , , ,1,1,1,21.48, , , , , , , , , ,1
0006025C,0006,0006, , , , , ,1,1,1,25.86,30.82, , , , , , , , ,1
0007001C,0007,0007, ,0007, , , ,1,1,1,29.17,39.9, ,76.38, , , ,.52, , ,2
0007002C,0007,0007, ,0007,0007,0007,0007,1,1,1,33.78,37.68, ,54.43,102.48,124.01,130.97,1.63,.72,.16,2
0007003C,0007,0007, ,0007, , , ,1,2,1,24.32,34.58, ,54.92, , , ,1.18, , ,2
0007004C,0007,0007, ,0007,0007,0007,0007,1,1,1,43.2,73.23, ,88.19,135.29,138.62,166.12,1.06,.68,.65,2
0007005C,0007,0007, , , , , ,1,1,1,22.73,43.68, , , , , , , , ,2
0007006C,0007,0007, ,0007,0007,0007,0007,1,2,1,23.78,34.98, ,48.53,84.41,105.86,145.83,1.28,1.2,1.29,2
0007007C,0007,0007, ,0007, , , ,1,2,1,21.04,33.68, ,40.84, , , ,-.53, , ,2
0007008C,0007,0007, ,0007,0007,0007,0007,1,1,1,26.18,34.4, ,66.3,90.36,116.97,154.36,.99,.96,1.11,2
0007009C,0007,0007, ,0007,0007,0007,C004,1,2,1,20.27,28.03, ,40.86,74.17,101.72,135.41,-.29,-.32,-.2,2
0007010C,0007,0007, ,0007,0007,0007,0007,1,1,1,13.33,23.61, ,51.57,91.28,102.75,145.91,.6, , ,2
0007011C,0007,0007, , , , , ,1,1,1,19.83,28.14, , , , , , , , ,2
0007012C,0007,0007, , , , , ,1,1,1,46.38,58.69, , , , , , , , ,2
0007013C,0007,0007, ,0007,0007, , ,1,1,1,43.91,57.15, ,72.7,142.41, , ,2.28,2.14, ,2
0007014C,0007,0007, , , , , ,1,2,1,29.05,32.47, , , , , , , , ,2
0007015C,0007,0007, ,0007,0007,2001, ,1,2,1,21.88,34.47, ,53.84,105.37,120.92, ,-.43,-.2,-.42,2
0007016C,0007,0007, ,0007,0007,0007, ,1,1,1,16.91,35.1, ,42.23,104.91,122.08, ,.29, , ,2
0007017C,0007,0007, ,0007,0007,0007,0007,1,2,1,47.72,53.84, ,92.33,126.34,139.79,161.74,1.98,1.88,1.84,2
0007018C,0007,0007, ,0007,0007,0007,0007,1,1,1,34.71,46.93, ,71.97,117.6,139.62,167.5,1.52,1.45,1.06,2
0007019C,0007,0007, , , , , ,1,1,1,28.82,36.11, , , , , , , , ,2
0007020C,0007,0007, , ,0007, , ,1,2,1,47.11,73.5, , ,133.34, , , ,1.86, ,2
0007021C,0007,0007, ,0007, , , ,1,2,1,22.45,33.79, ,49.94, , , ,.83, , ,2
0007022C,0007,0007, ,0007,0007,0007,C009,1,2,1,30.8,46.98, ,67.39,123.14,144.3,161.08, ,.64,.61,2
0007023C,0007,0007, ,0007,0007,0007,0007,1,1,1,28.51,37.59, ,70.35,121.65,141,157.1,.49,.36,.33,2
0007024C,0007,0007, , , , , ,1,2,1,29.19,46.16, , , , , , , , ,2
0009001C,0009,0009, ,0009,0009,7065,C008,3,2,1,16.15,20.46, ,53.76,74.41,86.8,106.45,-.91,-1.24,-.96,1
0009002C,0009,0009, ,0009,0009, ,C008,3,1,1,14.34,21.06, ,41.53,77.31, ,108.51,-.81,-.92, ,1
0009003C,0009,0009, ,0009,0009,7065,C008,3,2,1,20.68,28.86, ,51.4,81.1,119.38,132.78,.77,.61,1.22,1
0009004C,0009,0009, ,0009, , , ,3,1,1,25.37,36.75, ,54.72, , , ,-.93, , ,1
0009005C,0009,0009, ,0009,0009,7065,C008,3,2,1,29.48,46.75, ,80.93,95.19,121.18,133.83,-.6,-.65,-.54,1
0009007C,0009,0009, ,0009,0009,7065,C008,3,2,1,23.87,20.36, ,39.14,59.16,89.53,100.7,-.62,-.66,-.76,1
0009008C,0009,0009, ,0009,0009,7065,C008,3,2,1,22.37,38.04, ,50.49,75.95,119.83,128.88,-.5,-.49,-.58,1
0009009C,0009,0009, ,0009,7065, , ,3,2,1,25.84,28.4, ,55.42,103.67, , ,-.5,-.37, ,1
0009010C,0009,0009, ,0009,7065,7065,C008,3,1,1,26.34,39.26, ,64.1,110.02,128.54,143.72,-.5,-.49,-.52,1
0009011C,0009,0009, ,0009,0009,7065,C008,3,2,1, , , , , , ,82.57,.43,.36,.44,1
0009012C,0009,0009, ,0009,7065, , ,3,1,1,26.29,30.04, ,50.73,78.75, , ,.13,-.04, ,1
0009013C,0009,0009, ,0009,0009,7065,C008,3,2,1,28.62,45.61, ,74.4,120.88,128.22,157.87,.13,.17, ,1
0009014C,0009,0009, ,0009,0009,7065,C008,3,2,1,27.38,35.46, ,50.06,91.01,116.19,119.6,-.01,-.06,-.08,1
0009015C,0009,0009, ,9997, , , ,3,1,1,18.65,21.53, , , , , ,-.11, , ,1
0009016C,0009,0009, , , , , ,3,1,1, , , , , , , , , , ,1
0009017C,0009,0009, ,0009,0009,7065,C008,3,2,1,28.46,39.94, ,72.41,103.65,119.83,161.87,-.12,-1,-1.14,1
