CHILDID,S1_ID,S2_ID,S3_ID,S4_ID,S5_ID,S6_ID,S7_ID,KURBAN_R,GENDER,RACE,C1R4MSCL,C2R4MSCL,C3R4MSCL,C4R4MSCL,C5R4MSCL,C6R4MSCL,C7R4MSCL,W1SESL,W3SESL,W5SESL,S2PUBLIC
0333001C,0333,0333,0333,0333,0333,0333,A320,1,2,5,58.93,69.01,85.94,84.41,131.83,139.61,155.38,1.19,1.14,1.11,1
0333002C,0333,0333,0333,0333,0333,0333,C682,1,1,1,-9,64.05,59.45,86.15,120.79,145.68,169.29,.75,.59,.62,1
0333003C,0333,0333,0333,0333,8464, , ,1,2,1,30.18,36.92,39.29,60.92,99.23, , ,.2,.2, ,1
0333004C,0333,0333,0333,0333,0333,0333,C682,1,2,1,41.53,50.77,54.99,94.69,121.85,149.25,160.02,.09,.28,.26,1
0333005C,0333,0333,0333,0333,8007, , ,1,1,1,22.28,21.77,28.67,27.52,44.31, , ,-.51,-.48, ,1
0333006C,0333,4186,9998,4186,8398, , ,1,2,2,17.8,25, ,63.22,90.46, , ,-.07,-.01, ,1
0333007C,0333,0333,0333,0333,0333,0333,E772,1,1,1,30.23,37.05,48.71,68.08,104.47,116.21,137.04,-.16,-.23,-.25,1
0333009C,0333,0333,0333,0333,0333,0333,C682,1,1,1,21.34,28.11,34.57,49.46,105.08, , ,.56,.27,.93,1
0333010C,0333,0333,0333,0333,0333,0333,C682,1,2,1,28.37,37.63,54.02,76.13,104.23,141.68,161.47,.67,.26,.41,1
0333011C,0333,0333,0333,0333,0333,0333, ,1,1,1,26.51,34.03,43.64,66.09,110.09,126.67, ,1.08, , ,1
0333012C,0333,0333,0333,6215,6215,6215,C806,1,2,1,32.94,39.14,42.69,64.22,103.13,127.72,155.58,-.52,-.32,-.38,1
0333013C,0333,0333,0333,0333,7918,7918,7918,1,2,1,49.91,56.53,70.33,93.44,147.26,156.86, ,1.31,1.22,1.26,1
0333014C,0333,0333,0333,0333,7038, , ,1,2,1,34.4,41.35,53.68,87.08,98.22, , ,.22,.13, ,1
0333015C,0333,0333,0333,0333,0333,0333,C970,1,2,2,26.55,32.67,41.66,49.73,84.72,110.96,128.38,-.2, ,-.34,1
0333016C,0333,0333,5254,5254,4186, , ,1,1,1,54.16,77.61,87.64,114.83,149.82, , ,.92,.96, ,1
0333017C,0333,0333,0333,0333,0333, , ,1,2,1,41.09,48.15,77.97,110.9,145.03, , ,.33,.39, ,1
0333018C,0333,0333,0333,0333,0333,0333,C973,1,1,3,27.93,45.15,68.2,102.56,120.72,153.96,161.02,.99,.59,.6,1
0333019C,0333,0333,0333,0333,7919, , ,1,1,1,39.17,56.66,66.05,101.23,108.6, , ,.38, , ,1
0333020C,0333,0333, , , , , ,1,1,2,32.9,41.44, , , , , , , , ,1
0333021C,0333,4070,4070,4070,4070, , ,1,1,1,35.81,40.5,60.86,74.7,126.21, , ,-.01,.19, ,1
0333022C,0333,0333,0333,0333,0333, , ,1,2,5,24.76,27.87,39.39,56.05,111.32, , ,.63, , ,1
0333023C,0333,0333, , , , , ,1,2,2,21.75,27.08, , , , , , , , ,1
0333024C,0333,0333,9998,5537,7919,0333,C682,1,1,2,26.84,41.98, ,55.23,84.46,115.97,148.53,.23,.04,.02,1
0333040C, , , ,0333,7920, , , ,1,2, , , ,74.02,104.07, , ,-.26,-.94, , 
0334001C,0334,0334,5108,5108,8399,A271,D996,1,2,6,19.19,32.74,34.99,42.84,61.92,75.02,99.52,-.58,-.57, ,1
0334003C,0334,0334,5107,5107,5108, , ,1,1,1,30.58,43.98,42.2,59.78,105.54, , ,-.6,-.18, ,1
0334004C,0334,0334,0334,9995,5108,5108,C684,1,2,1, , , , ,63.33,92.26,133.78, ,.38,.44,1
0334005C,0334,0334, , , , , ,1,2,2,20.42, , , , , , , , , ,1
0334006C,0334,0334,5290,5290,5290,5290,C684,1,2,1,26.98,44.6,46.07,65.03,103.17,128.36,161.79,.85,.81,.9,1
0334007C,0334,0334,5290,5290,5290,5290,C684,1,2,1,33.6,57.61,57.67,94.19,123.07,142.19,163.24,1.59,1.49,1.46,1
0334008C,0334,0334,5107,5107,5107, , ,1,1,1,34.95,51.09,56.62,90.51,121.32, , ,-.2,-.38, ,1
0334009C,0334,0334,9998,5107,5107, , ,1,1,8,18.22,38.57, ,48.49,94.31, , ,-.85,-.96, ,1
0334010C,0334,0334,5107,5107,5107,5107,C684,1,1,1,33.85,54.01,76.55,103.32,145.61,152.19,163.47,1.43,1.45,1.03,1
0334011C,0334,0334,5290,5290,5290,5290,C684,1,2,1,36.23,64.22,61.31,91.67,139.94,160.26,171.39,1.26,1.54,1.5,1
0334012C,0334,0334,5162,5162,7921,7921,C686,1,2,2,25.18,34.34,35.57,54.02,82.28,87.95,123.9,-.35,-.08,-.21,1
0334013C,0334,0334,9998,5108,5108, , ,1,2,2,20.43,30.97, ,68.61,89.49, , ,-.09,-.24, ,1
0334014C,0334,0334,5108,5108,5108,5162,C686,1,1,1,28.88,36.35,57.01,71.52,113.09,130.08,134.6,-.05,-.14,-.16,1
0334015C,0334,0334,5107,5107,9997, , ,1,2,1,18.22,25.27,34.95,43.25, , , ,.01,-.26, ,1
0334016C,0334,0334,9998,6383,6383, , ,1,1,1,40.03,46.07, ,80.4,110.27, , ,.76,.82, ,1
0334017C,0334,0334,9998,5162,8384,8384,C975,1,2,1,41.23,54.53, ,114.94,132.37,157.17,167.14,.66,-.03,.97,1
0334018C,0334,0334,9998,5162,5107, , ,1,2,1,21.79,58.32, ,58.72,131.03, , ,-.52, , ,1
0334019C,0334,0334,5016,5016,5016,5016,C994,1,2,1,38.51,61.08, ,100.76,134.75,157.76,157.86, , ,.72,1
0334020C,0334,0334,9998,9226,5108, , ,1,1,1,29.43,42.96, ,90.7,129.3, , ,-.07,.01, ,1
0334021C,0334,0334,5290,5290,5290,5290,C684,1,1,1,39.32,64.8,73.12,96.06,144.42,162.6,170.71,.72,.14,.11,1
0334022C,0334,0334,5290,5290,5290,5290, ,1,2,1,25.36,26.46,40.94,48.88,63.06,102.72, ,-.28,-.27,-.46,1
0334023C,0334,0334,5108,5108,8008, , ,1,2,3,17.66,29.56,39.2,56.06,73.99, , ,.34,.37, ,1
0335001C,0335,0335, , , , , ,1,2,1,20.1,38.08, , , , , , , , ,1
0335003C,0335,0335, , , , , ,1,2,1, , , , , , , , , , ,1
0335004C,0335,0335, ,0335, , , ,1,1,1,24.4,40.02, ,64.54, , , ,-.33, , ,1
0335005C,0335,0335, ,0335,0335,0335,C688,1,2,1,46.03,70.07, ,118.51,159.4,159.42,172.2,-.1,-.14,-.17,1
0335006C,0335,0335, ,0335,0335,0335, ,1,1,1,40.82,42.82, ,74.76,119.76,138.46, ,.08, , ,1
0335007C,0335,0331, , , , , ,1,2,1,27.66,46.01, , , , , , , , ,1
0335008C,0335,9226, , , , , ,1,2,2,17.98,31.95, , , , , , , , ,1
0335009C,0335,0335, ,0335,0335,0335,C979,1,1,1,25.06,38.73, ,58.2,118.42,142.69,165.25,-.5, ,-.58,1
0335010C,0335,0335, ,0335,0335,0335,C688,1,1,1,20.49,45.7, ,83.8,95.28,139.12,139.91,-.51,-.29,.01,1
0335011C,0335,0335, ,0335,0335,0335,C688,1,1,1, ,28.21, ,53.86,90.37,97.79,141.27,-.2,-.42,-.89,1
0335013C,0335,4529, , , , , ,1,1,1,33.95,43.3, , , , , , , , ,1
0335014C,0335,0335, ,0335,0335,0335,C688,1,2,1,27.19,35.07, ,55.83,98.57,119.18,128.17,-.72,-.2,-.21,1
0335015C,0335,0335, ,0335,0335,A121,C688,1,2,1,33.19,42.38, ,81.39,118.02,137.79,160.89,-.33,-.52,-.62,1
0335016C,0335,0335, ,0335,0335,0335,C688,1,1,1,35.58,47.14, ,75.87,128.63,133.81,156.31,-.14,-.27,-.22,1
0335017C,0335,0335, ,0335, , , ,1,1,1,29.41,58.83, ,85.35, , , , , , ,1
0335018C,0335,0335, , , , , ,1,2,2,17.76,31.46, , , , , , , , ,1
0335019C,0335,0335, ,0335, , , ,1,2,1,15.96,20.61, ,42.66, , , ,-.64, , ,1
0335020C,0335,4069, , , , , ,1,1,1,23.21,37.49, , , , , , , , ,1
0335022C,0335,0335, , , , , ,1,1,1,37.32,79.05, , , , , , , , ,1
0335023C,0335,0335, , , , , ,1,1,1,42.28,61.19, , , , , , , , ,1
0335024C,0335,4586, , , , , ,1,1,2, , , , , , , , , , ,1
0336001C,0336,0336,9998,5539,5539, , ,1,1,1,16.69,29.05, ,50.87,102.58, , , ,-.39, ,1
0336002C,0336,0336,9995,9995, , , ,1,2,3,25.75,28.53, , , , , ,1.15, , ,1
0336003C,0336,4278, , , , , ,1,2,1,21.7, , , , , , , , , ,1
0336004C,0336,0336,9998,6046,6046,6046,9995,1,2,1,14.44,27.67, ,54.38,73.03,118.02, ,-.71,-.88,-.7,1
0336005C,0336,0336,0336,0336,0336,0336,C980,1,1,1,12.86,23.99,26.81,40.22,61.1,79.41,115.25,-.84,-.51,-.87,1
0336006C,0336,0336,0336,0336, , , ,1,2,1, ,24.05,32.85,50.07, , , ,-.72, , ,1
0336007C,0336,0336,9998,5539,5539, , ,1,2,1,19.77,31.19, ,54.04,88.75, , , ,-.86, ,1
0336008C,0336,0336,0336,0336,0336, , ,1,1,1,26.27,34.17,47.59,63.96,105.01, , ,-1.04,-1.08, ,1
0336010C,0336,0336,0336,0336,0336,0336,E387,1,1,3,15.72,27.72,31.82,36.01,87.53,113.24,-9,-.72,-1.06,-1.06,1
0336011C,0336,4589,9998,4589,4589,5108,C684,1,1,1, ,23.51, ,41.7,65.89,70.83,113.1, ,-1.09,-1.73,1
0336012C,0336,0336,5207,5207,5207, , ,1,1,1,19.62,29.98,37.69,74.69,118.47, , ,-.79,-.72, ,1
0336013C,0336,0336,9998,5539,5539, , ,1,1,3,19.95,23.79, ,38.44,65.22, , ,-1.11,-1.06, ,1
0336014C,0336,0336,5107,5107,5107, , ,1,2,1,24.3,33.97,41.21,55.9,90.76, , ,-.44,-.53, ,1
0336015C,0336,0336,5297,5297,7922, , ,1,1,1,15.94,24.74, ,42.96,75.41, , ,-.06,-.27, ,1
0336016C,0336,0336,0336,0336, , , ,1,1,1,34.31,40.9,45.07, , , , , , , ,1
0336017C,0336,0336,9998,5539,5539,A271,C982,1,1,3,12.14, , ,47.31,101.29,121.03,129.94,-.95,-.92,-.65,1
0336018C,0336,0336,0336,0336,0336,0336, ,1,1,1,12.59,23.3,30.44,58.66,60.03,92.67, , , , ,1
0336019C,0336,0336,9998,5536,5536, , ,1,2,1,21.35,32.67, ,59.93,100.18, , ,-1.87,-1.62, ,1
0336020C,0336,0336,0336,0336,0336,0336,9995,1,2,1,18.73,22.98,27.97,39.11,81.44,116.38, ,-.87,-.72,-1.25,1
0336021C,0336,0336,0336,0336,0336,0336,E743,1,1,3,18.58,29.89,48.24,90.25,118.72,127.81,153.03,-1,-.94,-1.03,1
0336022C,0336,0336,0336,0336,0336, , ,1,1,2,38.18,41.7,46.93,70.2,93.66, , ,.05,-.06, ,1
0336023C,0336,0336,9998,5539, , , ,1,2,2,21.69,28.12, ,41.39, , , , , , ,1
0336024C,0336,0336,5206,5206,5206,A348,C981,1,1,3,30.77,33.8,43.42,41.17,71.55,84.66,121.13,.12,-.62,-.62,1
0336042C, , , ,0336, , , , ,2,1, , , ,66.37, , , , , , , 
0336043C, , , ,0336,7924,7924,C580, ,1,1, , , ,77.66,117.81,150.38,159.92,-.48,-.57,-1.04, 
0336044C, , , ,0336,0336,0336,C583, ,2,2, , , ,63.19,81.52,111.64,131.3,-.64,-.54,-.48, 
0336045C, , , ,0336,0336,0336, , ,1,1, , , ,54.18,81.81,106.31, , , , , 
0337002C,0337,0337,0337,0337,0337,0337,0337,1,1,8,22.64,30.86,41.11,44.61,74.49,94.93,118.96,.14,.53,.5,2
0337003C,0337,0337,0337,0337,0337,0337,0337,1,2,1,28.97,44.62,48.76,67.39,144.08,142.29,163.27,.64,.62,.59,2
0337004C,0337,0337,0337,0337,0337,0337,0337,1,2,1,36.53,54.65,55.47,73.06,123.43,143.37,160.38,1.29,1.19,1.16,2
0337005C,0337,0337,0337,0337,0337,0337,0337,1,2,1,33.97,37.38,57.76,68.09,113.17,140.74,157.4,.15,.32,.39,2
0337006C,0337,0337,0337,0337,0337,0337, ,1,1,1,37.24,55.02,56.51,76.11,117.64,141.49, ,.83,.72,.7,2
0337008C,0337,0337,0337,0337,0337,0337,0337,1,1,1,33.56,54.88,48.17,61.42,107.04,133.52,142.47,1.31,1.13,.49,2
0337009C,0337,0337,0337,0337,0337,0337, ,1,1,1,31.56,44.13,40.68,52.57,83.06,106.98, ,1.03,1.04,1.01,2
0337010C,0337,0337,0337,0337,0337,0337,C586,1,2,1,23.01,32.52,45.75,56.62,73.25,95.82,118.29,.93,.81,.88,2
0337011C,0337,0337,0337,0337,0337,0337,0337,1,1,1,45.93,56.05,71.95,123.49,124.56,147.46,160.18,.11,.08,.25,2
0337012C,0337,0337,0337,0337,0337,0337,0337,1,1,1,30.23,46.22,40.27,70.41,109.16,138.19,147.25,1.32,1.27,1.23,2
0337013C,0337,0337,0337,0337,0337,0337,0337,1,2,1,67.39,66.07,79.94,102.52,143.95,153.04,161.82,1,.91,.81,2
0337014C,0337,0337,0337,0337,0337,0337,0337,1,1,1,34.92,46.17,63.56,88.62,142.22,148.87,162.74,.66,.8,.89,2
0337015C,0337,0337,0337,0337,0337,0337,0337,1,1,1,67.51,112.51,106.52,132.49,141.82,158.15,165.62,2,2.06,2.02,2
0337016C,0337,0337,0337,6047,6047, , ,1,2,1,42.02,47.73,50.1,89.21,127.56, , ,.84,.69, ,2
0337017C,0337,0337,0337,0337,0337,0337,C588,1,1,1,44.6,60.41,75.41,98.35,118.76,142.24,151.39,1.11,.69,.61,2
0337018C,0337,0337,0337,0337,0337,0337,0337,1,2,1,25.48,42.09,51.27,71.85,89.58,118.28,137.71,.89,.97,.94,2
0337020C,0337,0337,0337,0337,0337,0337,0337,1,2,1,49.43,78.13,91.42,92.84,117.57,148.28,162.21,.83,.78,.49,2
0337021C,0337,0337,0337,0337,0337,0337,0337,1,2,1,37.1,40.37,58.37,78.08,110.74,126.84,155.68,.62,.67,.64,2
0337023C,0337,0337,0337,0337,0337,0337,0337,1,2,1,44.13,57.58,58.31,79.38,105.19,126.46,138.86,1.18,1.03,.99,2
0337024C,0337,0337,0337,0337,0337,0337,0337,1,1,1,29.74,39.2,47.27,64.34,102.2,126.26,141.57,1.8,1.64,1.6,2
0338001C,0338,0338,0338,0338,0338,0338,0338,1,2,1,20.79,29.89,38.16,53.78, ,132.36,132.84,-.39,-.2,-.01,2
0338002C,0338,0338,0338,0338,0338,0338,0338,1,2,1,22.59,46.38,50.28,58.97,93.24,125.02,132.53,.33,.32,.03,2
0338003C,0338,0338,0338,0338,0338,0338,0338,1,1,1,18.7,34.43,49.69,72.86,116.02,132.17,158.08,1.49,1.46,1.34,2
0338004C,0338,0338,0338,0338,0338,0338,0338,1,1,1,24.42,41.9,50.2,65.97,88.11,140.66,143.79,1.35,1.24,1.21,2
0338005C,0338,0338,0338,0338,7925, , ,1,1,2,31.37,57.22,44.95,76.16,105.75, , ,-.13,-.22, ,2
0338006C,0338,0338,0338,0338,0338,0338,C682,1,1,2,38.05,51.58,56.61,47.14,112.56,128.62,136.86,.41, ,.48,2
0338007C,0338,0338,0338,0338,8300, , ,1,2,2,57.51,55.93,60.26,88.1,118.03, , ,1.05,1.05, ,2
0338008C,0338,0338,0338,0338,0338,0338,0338,1,2,1,27.53,39.05,42.44,54.61,92.24,133.2,143.88,.56,.84,.7,2
0338009C,0338,0338,0338,0338,0337,0337, ,1,2,1,24.35,30.19,51.97,49.16,81,133.98, ,2.04,1.97,1.94,2
0338010C,0338,0338,0338,0338,0338,0338, ,1,1,1,37.53,50.24,47.84,50.07,69.8,111.04, ,1.05, , ,2
0338011C,0338,0338,0338,0338,0338,0338,0338,1,1,8,23.84,34.88,46.15,61.45,90.25,128.33,140.43,0,.09,.17,2
0338012C,0338,0338,0338,0338,9997, , ,1,1,1,48.52,80.14,90.71,118.51, , , ,1.6,1.62, ,2
0338013C,0338,0338,0338,0338,0338,0338,0338,1,1,1,31.1,38.75,55.43,66.78,106.47,115.42,136.64,1.66,1.69,1.65,2
0338014C,0338,0338,0338,0338,0338,0338,0338,1,1,2,25.76,39.86,43.78,47.3,82.87,118.38,140.8,.39,.3,.38,2
0338015C,0338,0338,0338,0338,0338,0338,0338,1,1,8,37,51.19,54.94,66.53,104.42,126.51,154.6,1.04,.9,.87,2
0338016C,0338,0338,0338,0338,0338,0338, ,1,1,1,23.6,37.84,43.95,61.55,77.47,103.25, ,1.23,1.21,.84,2
0338017C,0338,0338,0338,0338,0338,0338,0338,1,2,1,46.02,59.47,77.89,82.95,123.01,151.75,167.3,.77,.93,.97,2
0338018C,0338,0338,0338,0338,0338,0338,0338,1,1,1,31.9,37.49,50.16,72.84,93.55,137.13,149.62,.78,.61,.51,2
0338019C,0338,0338,0338,0338,0338,0338,0338,1,1,1,26.09,38.63,42.14,85.71,117.64,148.15,165.44,.95,.62,.59,2
0338020C,0338,0338,0338,0338,9997, , ,1,2,1,45.74,78.75,77.35,117.05, , , ,1.6,1.62, ,2
0339001C,0339,0339, , , , , ,1,1,1,31.27,49.93, , , , , , , , ,2
0339002C,0339,0339, , , , , ,1,2,1,19.36,28.38, , , , , , , , ,2
0339003C,0339,0339, ,0339,0339,0339,0339,1,2,1,19.29,24.92, ,36.35,70.75,104.44,122.12,-.47,-.27,-.25,2
0339004C,0339,0339, , , , , ,1,2,2,26.01,37.14, , , , , , , , ,2
0339005C,0339,0339, , , , , ,1,1,2,26.32, , , , , , , , , ,2
0339006C,0339,4279, , , , , ,1,2,2,20.94,26.33, , , , , , , , ,2
0339007C,0339,0339, , , , , ,1,2,2,28.88,35.07, , , , , , , , ,2
0339008C,0339,0339, , , , , ,1,1,2,46.65,49.01, , , , , , , , ,2
0339009C,0339,4439, , , , , ,1,2,1,27.07,47.48, , , , , , , , ,2
0339010C,0339,0339, , , , , ,1,1,2,23.54,34.49, , , , , , , , ,2
0339011C,0339,0339, ,0339, , , ,1,1,2,20.14,27.06, ,62, , , , , , ,2
0339012C,0339,0339, , , , , ,1,1,2,27.37,29.61, , , , , , , , ,2
0339013C,0339,0339, ,0339, , , ,1,1,2,22.85,36.66, ,45.57, , , ,.26, , ,2
0339014C,0339,0339, ,0339,0339, , ,1,2,2,34.77,44.91, ,67.1,104.22, , ,-.19,-.26, ,2
0339015C,0339,0339, ,0339, , , ,1,1,1,33.39,48.57, ,80.85, , , ,2.48, , ,2
0339016C,0339,0339, ,0339,0339,A320, ,1,2,2,23.9,26.42, ,47.53,53.64, , ,-.07,-.29,-.53,2
0339017C,0339,0339, , , , , ,1,1,2,27.92,35.99, , , , , , , , ,2
0339018C,0339,0339, ,0339,0339,A112,C625,1,1,3,26.24,38.64, ,40.32,76.88,103.71,113.29,.49,.03,.58,2
0339019C,0339,0339, ,0339,0339, , ,1,1,2,30.74,33.05, ,57.89,76.86, , ,-.48,-.57, ,2
0339020C,0339,0339, ,0339,0339,0339, ,1,1,8,33.92,66.14, ,79.04,106.03,142.53, ,-.57,-.58,-.52,2
0339021C,0339,0339, ,0339, , , ,1,1,2,16.44,21.89, ,45.69, , , ,-.77, , ,2
0339022C,0339,0339, ,0339, , , ,1,1,2,25.33,39.58, ,60.72, , , ,1.42, , ,2
0339023C,0339,0339, ,0339, , , ,1,2,2,35.66,61.2, ,72.45, , , ,-.49, , ,2
0339024C,0339,0339, ,0339, , , ,1,2,2,25.12,40.14, ,49.23, , , ,.26, , ,2
0343001C,0343,0343,0343,0343,0343,0343,0343,1,1,1,28.01,35.47,56.41,64.37,113.75,138.74,148.24,-.21,.69,.67,2
0343002C,0343,0343,0343,0343,0343,0343,C634,1,1,1,24,40.68,47.53,63.64,118.74,134.78,167.09,.96,.58,.35,2
0343003C,0343,0343,0343,0343,0343,0343,0343,1,2,1,32.46,39.92,48.81,66.86,89.74,127.43,150.18,.69,.6,.38,2
0343004C,0343,0343,0343,0343,0343,0343,0343,1,2,1,38.26,57.35,88.27,94.71,137.65,154.52,164.35,.72,.46,.43,2
0343007C,0343,0343,9998,5533,7836,7052,C634,1,1,1,21.47,32.03, ,50.13,82.65,119.4,132.62,-.04,-.82,.2,2
0343008C,0343,0343,0343,0343,0343,0343,C630,1,1,1,37.64,57.45,61.27,90.63,133.78,133.94,164.36,.07,.04,.02,2
0343009C,0343,0343,0343,0343,0343, , ,1,2,1,21.35,41.26,42.92,69.52,78.07, , ,-.01,-.01, ,2
0343010C,0343,0343,0343,0343,0343, ,A455,1,1,1,22.84,33.87,43.59,63.44,89.79, ,134.43,-.2, , ,2
0343011C,0343,0343,0343,0343,0343,0343, ,1,2,1,31,60.11,58.01,65.75,88.98,120.4, ,.71,.41,.53,2
0343012C,0343,0343,0343,0343,0343,0343,E388,1,1,2,39.12,60.98,62.65,93.43,131.21,139.3,156.77,-.39, ,-.41,2
0343013C,0343,0343,0343,0343,0343,0343,0343,1,2,1,26.53,46.03,49.42,62.81,112.14,130.65,147.52,.16,.05,.13,2
0343014C,0343,0343,0343,0343,0343,0343,0343,1,1,1,28.36,45.38,52.12,76.54,98.72,139.03,154.1,.67,.59,.67,2
0343015C,0343,0343,0343,0343,0343,0343,0343,1,1,1,33.34,48.97,61.93,75.31,117.73,129.74,154.73,.39,.31,.6,2
0343016C,0343,0343,0343,0343,0343,0343,C632,1,1,1,36.31,41.3,63.15,90.98,151.63,156.86,168.15,.96,1.06,1.03,2
0343017C,0343,0343,0343,0343,0343,0343, ,1,2,1,27.2,43.2,42.66,50.26,66.71,116.76, ,-.24, ,-.09,2
0343018C,0343,0343,0343,0343,0343,0343,0343,1,1,1,41.84,52.98,76.23,102.94,134.54,153.84,161.61,1.46,1.36,1.33,2
0343019C,0343,0343,0343,0343, , , ,1,1,1,32.92,52.94,77.03,94.39, , , ,-.62, , ,2
0343020C,0343,0343,0343,0343,0343, , ,1,2,1,24.76,43.93,47.13,65.24,93.14, , ,.86,.61, ,2
0343021C,0343,0343,0343,0343,0343,0343,0343,1,2,1,38.67,53.06,54.8,83.56,93.11,127.88,133.66,.21,.1,.08,2
0343022C,0343,0343,0343,0343,0343,0343,0343,1,1,1,26.01,46.77,45.45,69.13,95.62,115.08,144.7,.43,.47,.33,2
0343023C,0343,0343,0343,0343,0343,0343, ,1,1,1,32.15,47.46,50.02,90.74,104.88,128.9, ,-.01,-.27, ,2
0343024C,0343,0343,0343,0343,5104, , ,1,2,1,31.59,52.89,56.66,98.88,117.62, , ,-.39,-.43, ,2
0344001C,0344,0344, ,0344,0344,0344, ,1,2,8,17.13,27.92, ,42.48,63.96,61.04, ,-.87, , ,1
0344002C,0344,0344, ,0344,0344, , ,1,2,1,48.08,65.91, ,90.93,136.68, , ,.33,.86, ,1
0344003C,0344,0344, , , , , ,1,2,3,19.22,33.44, , , , , , , , ,1
0344004C,0344,0344, ,0344, , , ,1,1,1,23.16,41.19, ,64.42, , , ,-.62, , ,1
0344005C,0344,0344, ,0344,0344,0344,C634,1,2,1,19.62,27.25, ,43.97,53.59,78.26,108.45,.1,-.28, ,1
0344006C,0344,0344, , , , , ,1,1,1,12.19,20.44, , , , , , , , ,1
0344007C,0344,0344, ,0344, , , ,1,2,1,25.51,41.72, ,61.58, , , ,.42, , ,1
0344008C,0344,0344, , , , , ,1,1,1,46.35,47.18, , , , , , , , ,1
0344009C,0344,0344, ,0344,0344,0344, ,1,1,1,25.66,41.83, ,62.55,98.4,136.18, ,-.38, , ,1
0344010C,0344,0344, , , , , ,1,1,1,28.66,35.81, , , , , , , , ,1
0344011C,0344,0344, ,0344,0344,0344, ,1,2,1,18.92,24.8, ,59.8,74.57,93.97, , , , ,1
0344012C,0344,0344, ,0344,0344, , ,1,1,1,17.45,25.56, ,39.3,59.25, , ,-.33,-.18, ,1
0344013C,0344,0344, , , , , ,1,1,1,26.21,33.58, , , , , , , , ,1
0344014C,0344,0344, ,0344, , , ,1,2,1,25.1,34.49, ,65.69, , , , , , ,1
0344015C,0344,0344, , , , , ,1,1,1,29.81,40.55, , , , , , , , ,1
0344016C,0344,0344, ,0344,0344,0344, ,1,2,1,24.9,41.62, ,55.93,101.63,120.7, ,-.54,-1.06, ,1
0344017C,0344,0344, , , , , ,1,1,1,29.11,44.39, , , , , , , , ,1
0344018C,0344,0344, , , , , ,1,1,1,13.75,20.97, , , , , , , , ,1
0344019C,0344,0344, ,0344,0344,0344,D987,1,2,1,28.56,50.73, ,76.34,125.95,137.37,147.63,-.09,-.22,-.25,1
0344020C,0344,0344, ,0344,0344,0344,C641,1,2,8,24.31,29.24, ,49.02,71.63,82.22,110.68,-1.99,-1.73,-1.74,1
0344021C,0344, , , , , , ,1,2,1,23.91, , , , , , , , , ,1
0344023C,0344,0344, ,0344,0344,0344,C633,1,2,1,21.1,31.45, ,62.04,78.49,114.94,125.77,-.61,-.69,-.71,1
0344024C,0344,0344, ,0344, , , ,1,1,1,23.12,30.33, ,59.17, , , ,-.17, , ,1
0345001C,0345,0345,0345,0345,7052,A766,E160,1,2,8,29.59,41.86,51.1,75.01,144.92,163.29,171.15,.79,.84,.93,1
0345002C,0345,0345,5017,5017,5017, , ,1,1,1,40.29,56.55,76.2,90.62,120.23, , ,.35,.32, ,1
0345003C,0345,0345,0345,0345,7052,7052,C634,1,1,1,27.88,37.89,45.44,60.91,89.68,121.07,136.48,.07,-.09,.02,1
0345004C,0345,0345,0345,0345,7052,7052,C634,1,1,1,40.34,58.96,56.49,66.25,116.67,148.27,155.38,.57,.35,.32,1
0345005C,0345,0345,0345,0345,7052,7052,C634,1,2,1,28.53,41.85,45.63,84.48,87.63,108.49,140.54,.64,.97,1.15,1
0345006C,0345,0345,0345,0345,7052,7052,C634,1,2,1,37.23,58.09,81.46,103.67,118.9,130.97,144.55,1.19,1.08,1.05,1
0345008C,0345,0345,0345,0345,7052,7052,C634,1,2,1,43.75,-9,64.46,89.87,124.84,133.16,147.76,-.05,-.16,-.17,1
0345009C,0345,0345,5017,5017,5017, , ,1,2,1,24.93,31.26,38.85,64.31,89.47, , ,.61,.62, ,1
0345010C,0345,0345,9998,5017,5017,5017, ,1,1,1,37.3,58.52, ,106.18,130.45,153.63, ,1.11,1.06,1.03,1
0345011C,0345,0345,0345,0345,9227,9227,D052,1,2,8, ,45.29,67.81,92.41,132.04,152.89,168.04,-.07, ,-.25,1
0345012C,0345,0345,0345,0345,7052,7052,C634,1,1,1,31.76,47.93,62.94,89.89,130.24,141.06,162.35,-.01,-.04,-.07,1
0345013C,0345,0345,0345,0345,7052,7052,C634,1,2,1,42.23,53.46,64.04,89.25,134,148.14,155.52,.77,.66, ,1
0345014C,0345,0345,0345,0345,9997, , ,1,1,1,32.24,45.28,49.21,84, , , ,-.13,.25, ,1
0345015C,0345,0345,0345,0345,7052,7052,C634,1,2,1,34.33,54.34,58.59,80.51,106.48,151.55,163.41,1.57,1.57,1.53,1
0345016C,0345,0345,0345,0345,7052,7052,C634,1,1,1,34.36,47.78,54.01,91.97,122.31,151.9,162.73,.32,.55,.31,1
0345017C,0345,0345,5017,5017,5017, , ,1,1,1,48.58,53.35,58.27,95.35,145.41, , ,2.44,2.15, ,1
0345018C,0345,0345,9998,5017,7837, , ,1,1,1,35.87,39.02, ,79.52,118.56, , ,.39,.27, ,1
0345019C,0345,0345,0345,0345,7052,7052,C634,1,1,1,27.96,40.69,43.18,56.98,104.43,117.07,147.3,.42,.62,.59,1
0345020C,0345,0345,0345,0345,7052,7052,C634,1,2,3,17.43,23.53,31,54.25,61.51,80.54,101.68,-.21,-.21,-.3,1
