S_ID,CREGION,CS_TYPE2,KURBAN_R,S2KENRLS,S2KPUPRI
0399,2,2,2,1,2
0400,2,4,2,3,1
0401,2,4,2,4,1
0404,2,1,2,4,2
0405,2,4,2,4,1
0407,2,1,2,4,2
0411,2,4,2,4,1
0414,2,4,2,3,1
0420,2,3,2,1,2
0425,2,1,2,3,2
0427,2,4,2,2,1
0429,2,1,1,2,2
0430,2,4,2,2,1
0431,2,4,3,2,1
0432,2,4,2,4,1
0433,2,4,1,2,1
0434,2,4,1,3,1
0435,2,1,1,3,2
0436,2,4,1,2,1
0437,2,4,1,3,1
0439,2,4,2,5,1
0440,2,4,2,4,1
0441,2,4,2,3,1
0442,2,4,2,5,1
0443,2,4,1,2,1
0444,2,4,1,4,1
0445,2,4,2,5,1
0447,2,4,2,4,1
0449,2,4,1,4,1
0450,2,4,1,4,1
0451,2,4,3,2,1
0452,2,1,3,2,2
0453,2,4,3,1,1
0454,2,4,2,3,1
0455,2,4,2,3,1
0456,2,4,2,3,1
0458,2,4,2,3,1
0459,2,4,2,2,1
0460,2,4,3,3,1
0461,2,4,3,2,1
0462,2,4,3,1,1
0463,2,4,3,3,1
0464,2,4,3,3,1
0465,2,4,3,2,1
0466,2,1,3,2,2
0467,2,4,3,2,1
0470,2,3,2,1,2
0471,2,4,2,5,1
0474,2,4,2,3,1
0475,2,1,1,2,2
0479,2,4,1,1,1
0480,2,4,2,5,1
0481,2,4,3,1,1
0482,2,1,2,2,2
0483,2,4,2,3,1
0484,2,4,2,2,1
0485,2,1,2,3,2
0486,2,2,3,1,2
0488,2,1,3,2,2
0489,2,4,3,2,1
0491,2,4,3,5,1
0492,2,1,3,1,2
0494,2,4,3,2,1
0495,2,4,3,3,1
0500,2,1,3,2,2
0502,2,4,3,2,1
0504,2,4,1,2,1
0505,2,4,1,3,1
0506,2,2,1,2,2
0507,2,4,2,4,1
0508,2,1,2,5,2
0509,2,4,2,3,1
0510,2,4,2,2,1
0511,2,4,3,2,1
0512,2,4,1,4,1
0513,2,4,3,1,1
0514,2,4,3,1,1
0515,2,4,3,2,1
0516,2,4,3,3,1
0517,2,4,3,2,1
0518,2,4,3,3,1
0520,2,4,3,2,1
0521,2,1,3,2,2
0522,2,4,3,4,1
0523,2,4,3,3,1
0524,2,4,3,2,2
0525,2,4,3,1,1
0526,2,4,3,1,1
0527,2,4,2,2,1
0528,2,4,2,3,1
0529,2,1,3,2,2
0530,2,4,2,4,1
0531,2,4,3,1,1
0532,2,4,3,3,1
0533,2,4,3,2,1
0534,2,4,3,1,1
0535,2,4,3,1,1
0536,3,4,3,3,1
0537,3,4,3,3,1
0538,3,2,3,3,2
0546,3,4,2,3,1
0549,3,1,2,2,2
0551,3,4,2,5,1
0555,3,4,2,4,1
0556,3,3,3,1,2
0558,3,1,3,2,2
0559,3,1,3,2,2
0566,3,1,3,2,2
0572,3,4,2,2,1
0573,3,1,2,3,2
0576,3,2,2,1,2
0580,3,4,1,4,1
0584,3,4,2,4,1
0587,3,4,2,4,1
0590,3,3,1,1,2
0593,3,4,2,2,1
0597,3,4,1,5,1
0598,3,2,1,3,2
0599,3,4,1,5,1
0600,3,4,2,4,1
0601,3,4,1,3,1
0602,3,4,1,4,1
0605,3,4,1,4,1
0606,3,4,1,5,1
0609,3,4,1,4,1
0614,3,4,1,4,1
0615,3,2,1,4,2
0618,3,2,1,1,2
0619,3,4,2,5,1
0621,3,4,3,5,1
0622,3,4,3,4,1
